Theme,Count
"PROTEST,1469",2
"NATURAL_DISASTER_SEVERE_COLD,14",2
"WB_1083_INFRASTRUCTURE_AND_GROWTH,162",2
"WB_1083_INFRASTRUCTURE_AND_GROWTH,818",2
"TAX_FOODSTAPLES_WHEAT,2164",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,292",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,507",2
"PROTEST,232",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,2115",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,198",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,490",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,238",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,199",2
"PROTEST,1122",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1671",2
"NATURAL_DISASTER_SEVERE_COLD,1472",2
"WB_667_ICT_INFRASTRUCTURE,402",2
"PROTEST,571",2
"PROTEST,1204",2
"CRISISLEX_O01_WEATHER,1310",2
"WB_507_ENERGY_AND_EXTRACTIVES,1078",2
"NATURAL_DISASTER_SEVERE_COLD,1377",2
"CRISISLEX_T04_INFRASTRUCTURE,250",2
"CRISISLEX_T04_INFRASTRUCTURE,1111",2
"CRISISLEX_T04_INFRASTRUCTURE,2864",2
"PROTEST,829",2
"WB_2026_PREVENTION,1446",2
"TAX_DISEASE_COMMON_COLD,908",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1136",2
"PROTEST,72",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,167",2
"ECON_ELECTRICALDEMAND,378",2
"ECON_ELECTRICALDEMAND,1004",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,745",2
"PROTEST,624",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,388",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,589",2
"PROTEST,175",2
"PROTEST,27",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,289",2
"PROTEST,600",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,2146",2
"PROTEST,1367",2
"PROTEST,435",2
"PROTEST,159",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1451",2
"PROTEST,356",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,154",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,433",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,637",2
"PROTEST,647",2
"PROTEST,112",2
"PROTEST,331",2
"PROTEST,8902",2
"WB_507_ENERGY_AND_EXTRACTIVES,1372",2
"PROTEST,597",2
"PROTEST,490",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,794",2
"PROTEST,648",2
"CRISISLEX_O01_WEATHER,434",2
"TAX_FOODSTAPLES_WHEAT,888",2
"TAX_FOODSTAPLES_WHEAT,1746",2
"TAX_FOODSTAPLES_WHEAT,1792",2
"TAX_FOODSTAPLES_WHEAT,1994",2
"TAX_FOODSTAPLES_WHEAT,3202",2
"TAX_FOODSTAPLES_WHEAT,4699",2
"TAX_FOODSTAPLES_WHEAT,4899",2
"TAX_FOODSTAPLES_WHEAT,5151",2
"TAX_FOODSTAPLES_WHEAT,5562",2
"TAX_FOODSTAPLES_WHEAT,5614",2
"PROTEST,402",2
"PROTEST,320",2
"WB_2026_PREVENTION,5074",2
"PROTEST,8673",2
"PROTEST,147",2
"PROTEST,918",2
"PROTEST,362",2
"CRISISLEX_T04_INFRASTRUCTURE,1935",2
"CRISISLEX_T04_INFRASTRUCTURE,2437",2
"CRISISLEX_T04_INFRASTRUCTURE,2473",2
"PROTEST,1198",2
"WB_507_ENERGY_AND_EXTRACTIVES,2744",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,82",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,356",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,411",2
"PROTEST,132",2
"PROTEST,1753",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,975",2
"PROTEST,1062",2
"WB_507_ENERGY_AND_EXTRACTIVES,1429",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,449",2
"PROTEST,1133",2
"PROTEST,1543",2
"PROTEST,1206",2
"WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,2239",2
"WB_2026_PREVENTION,2239",2
"NATURAL_DISASTER_SEVERE_COLD,56",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,839",2
"PROTEST,1910",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,2294",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,2664",2
"PROTEST,523",2
"INFRASTRUCTURE_BAD_ROADS,495",2
"PROTEST,604",2
"NATURAL_DISASTER_SEVERE_COLD,57",2
"PROTEST,1741",2
"PROTEST,10",2
"PROTEST,192",2
"PROTEST,1392",2
"PROTEST,1813",2
"PROTEST,216",2
"PROTEST,71",2
"PROTEST,361",2
"PROTEST,1683",2
"PROTEST,908",2
"PROTEST,66",2
"PROTEST,1532",2
"PROTEST,1207",2
"PROTEST,1508",2
"PROTEST,57",2
"PROTEST,2301",2
"PROTEST,825",2
"PROTEST,1715",2
"CRISISLEX_T04_INFRASTRUCTURE,871",2
"CRISISLEX_T04_INFRASTRUCTURE,1820",2
"CRISISLEX_T04_INFRASTRUCTURE,1972",2
"CRISISLEX_T04_INFRASTRUCTURE,2039",2
"CRISISLEX_T04_INFRASTRUCTURE,2099",2
"PROTEST,826",2
"CRISISLEX_O01_WEATHER,1215",2
"PROTEST,1616",2
"PROTEST,2295",2
"PROTEST,328",2
"PROTEST,565",2
"PROTEST,2327",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,566",2
"PROTEST,1396",2
"PROTEST,2120",2
"PROTEST,1208",2
"PROTEST,682",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,670",2
"WB_507_ENERGY_AND_EXTRACTIVES,1119",2
"NATURAL_DISASTER_FREEZING_TEMPERATURES,55",2
"PROTEST,296",2
"ECON_ELECTRICALDEMAND,37",2
"ECON_ELECTRICALDEMAND,154",2
"WB_1703_POWER_DISTRIBUTION,272",2
"WB_508_POWER_SYSTEMS,272",2
"WB_507_ENERGY_AND_EXTRACTIVES,272",2
"NATURAL_DISASTER_FREEZING_TEMPERATURES,167",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,116",2
"PROTEST,199",2
"PROTEST,676",2
"PROTEST,1512",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1727",2
"PROTEST,221",2
"PROTEST,1010",2
"PROTEST,386",2
"PROTEST,1313",2
"CRISISLEX_O01_WEATHER,832",2
"NATURAL_DISASTER_SEVERE_COLD,83",2
"ECON_ELECTRICALGENERATION,4153",2
"ECON_ELECTRICALGENERATION,4193",2
"CRISISLEX_T04_INFRASTRUCTURE,594",2
"CRISISLEX_T04_INFRASTRUCTURE,1189",2
"WB_507_ENERGY_AND_EXTRACTIVES,4124",2
"WB_525_RENEWABLE_ENERGY,4124",2
"PROTEST,1300",2
"PROTEST,2793",2
"PROTEST,3269",2
"PROTEST,270",2
"WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,2377",2
"PROTEST,2717",2
"WB_667_ICT_INFRASTRUCTURE,6660",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,7098",2
"WB_2026_PREVENTION,1674",2
"WB_669_SOFTWARE_INFRASTRUCTURE,10305",2
"WB_669_SOFTWARE_INFRASTRUCTURE,11016",2
"PROTEST,476",2
"PROTEST,2043",2
"CRISISLEX_O01_WEATHER,1732",2
"PROTEST,169",2
"PROTEST,964",2
"PROTEST,695",2
"PROTEST,981",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,468",2
"PROTEST,259",2
"PROTEST,1039",2
"PROTEST,225",2
"PROTEST,42",2
"PROTEST,1624",2
"PROTEST,1722",2
"WB_507_ENERGY_AND_EXTRACTIVES,1314",2
"PROTEST,125",2
"PROTEST,1888",2
"PROTEST,153",2
"PROTEST,69",2
"CRISISLEX_O01_WEATHER,1064",2
"CRISISLEX_O01_WEATHER,1174",2
"PROTEST,745",2
"PROTEST,1324",2
"CRISISLEX_O01_WEATHER,991",2
"CRISISLEX_O01_WEATHER,1151",2
"CRISISLEX_O01_WEATHER,1508",2
"CRISISLEX_O01_WEATHER,1590",2
"CRISISLEX_O01_WEATHER,1639",2
"CRISISLEX_O01_WEATHER,1738",2
"CRISISLEX_O01_WEATHER,1834",2
"CRISISLEX_O01_WEATHER,1894",2
"CRISISLEX_O01_WEATHER,1939",2
"CRISISLEX_O01_WEATHER,1998",2
"CRISISLEX_O01_WEATHER,2040",2
"CRISISLEX_O01_WEATHER,2249",2
"CRISISLEX_O01_WEATHER,2417",2
"CRISISLEX_O01_WEATHER,2773",2
"CRISISLEX_O01_WEATHER,2922",2
"CRISISLEX_O01_WEATHER,3081",2
"CRISISLEX_O01_WEATHER,3175",2
"CRISISLEX_O01_WEATHER,3306",2
"CRISISLEX_O01_WEATHER,3402",2
"CRISISLEX_O01_WEATHER,3460",2
"CRISISLEX_O01_WEATHER,3510",2
"CRISISLEX_O01_WEATHER,3569",2
"CRISISLEX_O01_WEATHER,3619",2
"CRISISLEX_O01_WEATHER,3994",2
"CRISISLEX_O01_WEATHER,4357",2
"CRISISLEX_O01_WEATHER,4505",2
"CRISISLEX_O01_WEATHER,4664",2
"CRISISLEX_O01_WEATHER,4751",2
"CRISISLEX_O01_WEATHER,4884",2
"CRISISLEX_O01_WEATHER,4973",2
"CRISISLEX_O01_WEATHER,5031",2
"CRISISLEX_O01_WEATHER,5081",2
"CRISISLEX_O01_WEATHER,5140",2
"CRISISLEX_O01_WEATHER,5188",2
"CRISISLEX_O01_WEATHER,5675",2
"CRISISLEX_O01_WEATHER,6200",2
"CRISISLEX_O01_WEATHER,6282",2
"CRISISLEX_O01_WEATHER,6376",2
"CRISISLEX_O01_WEATHER,6475",2
"CRISISLEX_O01_WEATHER,6571",2
"CRISISLEX_O01_WEATHER,6629",2
"CRISISLEX_O01_WEATHER,6679",2
"CRISISLEX_O01_WEATHER,6738",2
"CRISISLEX_O01_WEATHER,6788",2
"CRISISLEX_O01_WEATHER,7243",2
"CRISISLEX_O01_WEATHER,7360",2
"CRISISLEX_O01_WEATHER,7757",2
"CRISISLEX_O01_WEATHER,7935",2
"CRISISLEX_O01_WEATHER,8068",2
"CRISISLEX_O01_WEATHER,8164",2
"CRISISLEX_O01_WEATHER,8222",2
"CRISISLEX_O01_WEATHER,8272",2
"CRISISLEX_O01_WEATHER,8331",2
"CRISISLEX_O01_WEATHER,8381",2
"CRISISLEX_O01_WEATHER,8596",2
"CRISISLEX_O01_WEATHER,8764",2
"CRISISLEX_O01_WEATHER,9087",2
"CRISISLEX_O01_WEATHER,9236",2
"CRISISLEX_O01_WEATHER,9366",2
"CRISISLEX_O01_WEATHER,9458",2
"CRISISLEX_O01_WEATHER,9559",2
"CRISISLEX_O01_WEATHER,9653",2
"CRISISLEX_O01_WEATHER,9711",2
"CRISISLEX_O01_WEATHER,9763",2
"CRISISLEX_O01_WEATHER,9822",2
"CRISISLEX_O01_WEATHER,9865",2
"CRISISLEX_O01_WEATHER,10081",2
"CRISISLEX_O01_WEATHER,10262",2
"CRISISLEX_O01_WEATHER,10778",2
"CRISISLEX_O01_WEATHER,10906",2
"CRISISLEX_O01_WEATHER,11000",2
"CRISISLEX_O01_WEATHER,11099",2
"CRISISLEX_O01_WEATHER,11255",2
"CRISISLEX_O01_WEATHER,11305",2
"CRISISLEX_O01_WEATHER,11364",2
"CRISISLEX_O01_WEATHER,11414",2
"CRISISLEX_O01_WEATHER,11601",2
"CRISISLEX_O01_WEATHER,11796",2
"CRISISLEX_O01_WEATHER,12276",2
"CRISISLEX_O01_WEATHER,12365",2
"CRISISLEX_O01_WEATHER,12459",2
"CRISISLEX_O01_WEATHER,12560",2
"CRISISLEX_O01_WEATHER,12656",2
"CRISISLEX_O01_WEATHER,12714",2
"CRISISLEX_O01_WEATHER,12764",2
"CRISISLEX_O01_WEATHER,12823",2
"CRISISLEX_O01_WEATHER,12873",2
"CRISISLEX_O01_WEATHER,13245",2
"CRISISLEX_O01_WEATHER,13769",2
"CRISISLEX_O01_WEATHER,13897",2
"CRISISLEX_O01_WEATHER,13991",2
"CRISISLEX_O01_WEATHER,14090",2
"CRISISLEX_O01_WEATHER,14186",2
"CRISISLEX_O01_WEATHER,14244",2
"CRISISLEX_O01_WEATHER,14294",2
"CRISISLEX_O01_WEATHER,14353",2
"CRISISLEX_O01_WEATHER,14403",2
"CRISISLEX_O01_WEATHER,14848",2
"CRISISLEX_O01_WEATHER,15029",2
"CRISISLEX_O01_WEATHER,15387",2
"CRISISLEX_O01_WEATHER,15476",2
"CRISISLEX_O01_WEATHER,15525",2
"CRISISLEX_O01_WEATHER,15624",2
"CRISISLEX_O01_WEATHER,15718",2
"CRISISLEX_O01_WEATHER,15776",2
"CRISISLEX_O01_WEATHER,15828",2
"CRISISLEX_O01_WEATHER,15887",2
"CRISISLEX_O01_WEATHER,16485",2
"CRISISLEX_O01_WEATHER,16668",2
"CRISISLEX_O01_WEATHER,17013",2
"CRISISLEX_O01_WEATHER,17097",2
"CRISISLEX_O01_WEATHER,17148",2
"CRISISLEX_O01_WEATHER,17247",2
"CRISISLEX_O01_WEATHER,17341",2
"CRISISLEX_O01_WEATHER,17399",2
"CRISISLEX_O01_WEATHER,17510",2
"CRISISLEX_O01_WEATHER,17553",2
"CRISISLEX_O01_WEATHER,17971",2
"CRISISLEX_O01_WEATHER,18453",2
"CRISISLEX_O01_WEATHER,18540",2
"CRISISLEX_O01_WEATHER,18589",2
"CRISISLEX_O01_WEATHER,18688",2
"CRISISLEX_O01_WEATHER,18782",2
"CRISISLEX_O01_WEATHER,18842",2
"CRISISLEX_O01_WEATHER,18894",2
"CRISISLEX_O01_WEATHER,18946",2
"CRISISLEX_O01_WEATHER,18989",2
"CRISISLEX_O01_WEATHER,19448",2
"CRISISLEX_O01_WEATHER,19582",2
"CRISISLEX_O01_WEATHER,19981",2
"CRISISLEX_O01_WEATHER,20068",2
"CRISISLEX_O01_WEATHER,20119",2
"CRISISLEX_O01_WEATHER,20218",2
"CRISISLEX_O01_WEATHER,20269",2
"CRISISLEX_O01_WEATHER,20329",2
"CRISISLEX_O01_WEATHER,20381",2
"CRISISLEX_O01_WEATHER,20440",2
"CRISISLEX_O01_WEATHER,20483",2
"CRISISLEX_O01_WEATHER,20991",2
"CRISISLEX_O01_WEATHER,21169",2
"CRISISLEX_O01_WEATHER,21505",2
"CRISISLEX_O01_WEATHER,21592",2
"CRISISLEX_O01_WEATHER,21641",2
"CRISISLEX_O01_WEATHER,21697",2
"CRISISLEX_O01_WEATHER,21748",2
"CRISISLEX_O01_WEATHER,21808",2
"CRISISLEX_O01_WEATHER,21860",2
"CRISISLEX_O01_WEATHER,21919",2
"CRISISLEX_O01_WEATHER,21962",2
"CRISISLEX_O01_WEATHER,22173",2
"CRISISLEX_O01_WEATHER,22368",2
"CRISISLEX_O01_WEATHER,22474",2
"CRISISLEX_O01_WEATHER,22853",2
"CRISISLEX_O01_WEATHER,22942",2
"CRISISLEX_O01_WEATHER,23036",2
"CRISISLEX_O01_WEATHER,23135",2
"CRISISLEX_O01_WEATHER,23231",2
"CRISISLEX_O01_WEATHER,23289",2
"CRISISLEX_O01_WEATHER,23341",2
"CRISISLEX_O01_WEATHER,23400",2
"CRISISLEX_O01_WEATHER,23450",2
"CRISISLEX_O01_WEATHER,23830",2
"CRISISLEX_O01_WEATHER,23945",2
"CRISISLEX_O01_WEATHER,24324",2
"CRISISLEX_O01_WEATHER,24413",2
"CRISISLEX_O01_WEATHER,24464",2
"CRISISLEX_O01_WEATHER,24520",2
"CRISISLEX_O01_WEATHER,24573",2
"CRISISLEX_O01_WEATHER,24631",2
"CRISISLEX_O01_WEATHER,24683",2
"CRISISLEX_O01_WEATHER,24742",2
"CRISISLEX_O01_WEATHER,24792",2
"CRISISLEX_O01_WEATHER,24996",2
"CRISISLEX_O01_WEATHER,25186",2
"CRISISLEX_O01_WEATHER,25388",2
"CRISISLEX_O01_WEATHER,25755",2
"CRISISLEX_O01_WEATHER,25842",2
"CRISISLEX_O01_WEATHER,25891",2
"CRISISLEX_O01_WEATHER,25947",2
"CRISISLEX_O01_WEATHER,25998",2
"CRISISLEX_O01_WEATHER,26058",2
"CRISISLEX_O01_WEATHER,26110",2
"CRISISLEX_O01_WEATHER,26169",2
"CRISISLEX_O01_WEATHER,26212",2
"CRISISLEX_O01_WEATHER,26418",2
"CRISISLEX_O01_WEATHER,26782",2
"CRISISLEX_O01_WEATHER,27128",2
"CRISISLEX_O01_WEATHER,27210",2
"CRISISLEX_O01_WEATHER,27261",2
"CRISISLEX_O01_WEATHER,27319",2
"CRISISLEX_O01_WEATHER,27585",2
"PROTEST,21",2
"PROTEST,1157",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1975",2
"PROTEST,1419",2
"PROTEST,944",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,1409",2
"PROTEST,588",2
"PROTEST,1123",2
"PROTEST,1708",2
"TAX_FOODSTAPLES_WHEAT,897",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,869",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,152",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,45",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,202",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,549",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,834",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,926",2
"PROTEST,44",2
"CRISISLEX_T04_INFRASTRUCTURE,1216",2
"PROTEST,215",2
"PROTEST,88",2
"PROTEST,124",2
"PROTEST,263",2
"CRISISLEX_T04_INFRASTRUCTURE,1261",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,47",2
"PROTEST,668",2
"PROTEST,1145",2
"PROTEST,1736",2
"PROTEST,1960",2
"PROTEST,29",2
"PROTEST,9",2
"PROTEST,1650",2
"WB_1803_TRANSPORT_INFRASTRUCTURE,354",2
"PROTEST,157",2
"PROTEST,81",2
"PROTEST,489",2
"PROTEST,1485",2
"CRISISLEX_T04_INFRASTRUCTURE,1276",2
"PROTEST,220",2
"PROTEST,340",2
"PROTEST,2312",2
"PROTEST,6847",2
"PROTEST,335",2
